"","BirthYear","count"
"1","1961",2
"2","1964",1
"3","1965",4
"4","1966",1
"5","1968",4
"6","1969",1
"7","1970",2
"8","1971",4
"9","1972",1
"10","1973",3
"11","1974",4
"12","1975",2
"13","1976",4
"14","1977",5
"15","1978",6
"16","1979",8
"17","1980",7
"18","1981",12
"19","1982",9
"20","1983",17
"21","1984",14
"22","1985",8
"23","1986",6
"24","1987",4
"25","1988",9
"26","1989",7
"27","1990",9
"28","1991",8
"29","1992",8
"30","1993",8
"31","1994",10
"32","1995",6
"33","1996",7
"34","1997",10
"35","1998",11
"36","1999",15
"37","2000",20
"38","2001",14
"39","2002",20
"40","2003",21
"41","2004",18
"42","2005",25
"43","2006",9
"44","2007",28
"45","2008",15
"46","2009",23
"47","2010",24
"48","2011",18
"49","2012",16
"50","2013",18
"51","2014",18
"52","2015",16
"53","2016",15
"54","2017",1
