"","currentAge","count"
"1",0,1
"2",1,15
"3",2,16
"4",3,18
"5",4,18
"6",5,16
"7",6,18
"8",7,24
"9",8,23
"10",9,15
"11",10,28
"12",11,9
"13",12,25
"14",13,18
"15",14,21
"16",15,20
"17",16,14
"18",17,20
"19",18,15
"20",19,11
"21",20,10
"22",21,7
"23",22,6
"24",23,10
"25",24,8
"26",25,8
"27",26,8
"28",27,9
"29",28,7
"30",29,9
"31",30,4
"32",31,6
"33",32,8
"34",33,14
"35",34,17
"36",35,9
"37",36,12
"38",37,7
"39",38,8
"40",39,6
"41",40,5
"42",41,4
"43",42,2
"44",43,4
"45",44,3
"46",45,1
"47",46,4
"48",47,2
"49",48,1
"50",49,4
"51",51,1
"52",52,4
"53",53,1
"54",56,2
